Web Search interest: adc
Worldwide 2004 - present

Interest over time
Week,adc
2007-08-26 - 2007-09-01,40
2007-09-02 - 2007-09-08,39
2007-09-09 - 2007-09-15,40
2007-09-16 - 2007-09-22,40
2007-09-23 - 2007-09-29,41
2007-09-30 - 2007-10-06,40
2007-10-07 - 2007-10-13,43
2007-10-14 - 2007-10-20,42
2007-10-21 - 2007-10-27,45
2007-10-28 - 2007-11-03,43
2007-11-04 - 2007-11-10,41
2007-11-11 - 2007-11-17,42
2007-11-18 - 2007-11-24,44
2007-11-25 - 2007-12-01,46
2007-12-02 - 2007-12-08,43
2007-12-09 - 2007-12-15,40
2007-12-16 - 2007-12-22,37
2007-12-23 - 2007-12-29,30
2007-12-30 - 2008-01-05,32
2008-01-06 - 2008-01-12,42
2008-01-13 - 2008-01-19,43
2008-01-20 - 2008-01-26,42
2008-01-27 - 2008-02-02,40
2008-02-03 - 2008-02-09,39
2008-02-10 - 2008-02-16,40
2008-02-17 - 2008-02-23,42
2008-02-24 - 2008-03-01,43
2008-03-02 - 2008-03-08,42
2008-03-09 - 2008-03-15,42
2008-03-16 - 2008-03-22,37
2008-03-23 - 2008-03-29,41
2008-03-30 - 2008-04-05,41
2008-04-06 - 2008-04-12,47
2008-04-13 - 2008-04-19,46
2008-04-20 - 2008-04-26,41
2008-04-27 - 2008-05-03,38
2008-05-04 - 2008-05-10,37
2008-05-11 - 2008-05-17,39
2008-05-18 - 2008-05-24,38
2008-05-25 - 2008-05-31,35
2008-06-01 - 2008-06-07,37
2008-06-08 - 2008-06-14,40
2008-06-15 - 2008-06-21,38
2008-06-22 - 2008-06-28,36
2008-06-29 - 2008-07-05,34
2008-07-06 - 2008-07-12,35
2008-07-13 - 2008-07-19,38
2008-07-20 - 2008-07-26,35
2008-07-27 - 2008-08-02,37
2008-08-03 - 2008-08-09,36
2008-08-10 - 2008-08-16,34
2008-08-17 - 2008-08-23,33
2008-08-24 - 2008-08-30,36
2008-08-31 - 2008-09-06,35
2008-09-07 - 2008-09-13,36
2008-09-14 - 2008-09-20,33
2008-09-21 - 2008-09-27,37
2008-09-28 - 2008-10-04,36
2008-10-05 - 2008-10-11,36
2008-10-12 - 2008-10-18,39
2008-10-19 - 2008-10-25,38
2008-10-26 - 2008-11-01,39
2008-11-02 - 2008-11-08,38
2008-11-09 - 2008-11-15,39
2008-11-16 - 2008-11-22,35
2008-11-23 - 2008-11-29,37
2008-11-30 - 2008-12-06,37
2008-12-07 - 2008-12-13,36
2008-12-14 - 2008-12-20,34
2008-12-21 - 2008-12-27,28
2008-12-28 - 2009-01-03,27
2009-01-04 - 2009-01-10,36
2009-01-11 - 2009-01-17,37
2009-01-18 - 2009-01-24,37
2009-01-25 - 2009-01-31,36
2009-02-01 - 2009-02-07,37
2009-02-08 - 2009-02-14,37
2009-02-15 - 2009-02-21,38
2009-02-22 - 2009-02-28,39
2009-03-01 - 2009-03-07,39
2009-03-08 - 2009-03-14,39
2009-03-15 - 2009-03-21,40
2009-03-22 - 2009-03-28,37
2009-03-29 - 2009-04-04,39
2009-04-05 - 2009-04-11,36
2009-04-12 - 2009-04-18,35
2009-04-19 - 2009-04-25,41
2009-04-26 - 2009-05-02,40
2009-05-03 - 2009-05-09,37
2009-05-10 - 2009-05-16,37
2009-05-17 - 2009-05-23,35
2009-05-24 - 2009-05-30,33
2009-05-31 - 2009-06-06,34
2009-06-07 - 2009-06-13,37
2009-06-14 - 2009-06-20,34
2009-06-21 - 2009-06-27,33
2009-06-28 - 2009-07-04,33
2009-07-05 - 2009-07-11,34
2009-07-12 - 2009-07-18,32
2009-07-19 - 2009-07-25,32
2009-07-26 - 2009-08-01,31
2009-08-02 - 2009-08-08,31
2009-08-09 - 2009-08-15,31
2009-08-16 - 2009-08-22,31
2009-08-23 - 2009-08-29,34
2009-08-30 - 2009-09-05,33
2009-09-06 - 2009-09-12,32
2009-09-13 - 2009-09-19,33
2009-09-20 - 2009-09-26,32
2009-09-27 - 2009-10-03,31
2009-10-04 - 2009-10-10,33
2009-10-11 - 2009-10-17,34
2009-10-18 - 2009-10-24,34
2009-10-25 - 2009-10-31,34
2009-11-01 - 2009-11-07,34
2009-11-08 - 2009-11-14,35
2009-11-15 - 2009-11-21,33
2009-11-22 - 2009-11-28,33
2009-11-29 - 2009-12-05,33
2009-12-06 - 2009-12-12,31
2009-12-13 - 2009-12-19,31
2009-12-20 - 2009-12-26,26
2009-12-27 - 2010-01-02,25
2010-01-03 - 2010-01-09,32
2010-01-10 - 2010-01-16,33
2010-01-17 - 2010-01-23,32
2010-01-24 - 2010-01-30,32
2010-01-31 - 2010-02-06,33
2010-02-07 - 2010-02-13,32
2010-02-14 - 2010-02-20,31
2010-02-21 - 2010-02-27,33
2010-02-28 - 2010-03-06,33
2010-03-07 - 2010-03-13,33
2010-03-14 - 2010-03-20,32
2010-03-21 - 2010-03-27,32
2010-03-28 - 2010-04-03,32
2010-04-04 - 2010-04-10,32
2010-04-11 - 2010-04-17,34
2010-04-18 - 2010-04-24,33
2010-04-25 - 2010-05-01,33
2010-05-02 - 2010-05-08,35
2010-05-09 - 2010-05-15,35
2010-05-16 - 2010-05-22,36
2010-05-23 - 2010-05-29,32
2010-05-30 - 2010-06-05,32
2010-06-06 - 2010-06-12,33
2010-06-13 - 2010-06-19,31
2010-06-20 - 2010-06-26,30
2010-06-27 - 2010-07-03,29
2010-07-04 - 2010-07-10,28
2010-07-11 - 2010-07-17,35
2010-07-18 - 2010-07-24,30
2010-07-25 - 2010-07-31,29
2010-08-01 - 2010-08-07,28
2010-08-08 - 2010-08-14,28
2010-08-15 - 2010-08-21,30
2010-08-22 - 2010-08-28,28
2010-08-29 - 2010-09-04,28
2010-09-05 - 2010-09-11,28
2010-09-12 - 2010-09-18,29
2010-09-19 - 2010-09-25,30
2010-09-26 - 2010-10-02,30
2010-10-03 - 2010-10-09,30
2010-10-10 - 2010-10-16,32
2010-10-17 - 2010-10-23,32
2010-10-24 - 2010-10-30,31
2010-10-31 - 2010-11-06,31
2010-11-07 - 2010-11-13,32
2010-11-14 - 2010-11-20,32
2010-11-21 - 2010-11-27,30
2010-11-28 - 2010-12-04,31
2010-12-05 - 2010-12-11,32
2010-12-12 - 2010-12-18,31
2010-12-19 - 2010-12-25,26
2010-12-26 - 2011-01-01,22
2011-01-02 - 2011-01-08,28
2011-01-09 - 2011-01-15,30
2011-01-16 - 2011-01-22,31
2011-01-23 - 2011-01-29,31
2011-01-30 - 2011-02-05,30
2011-02-06 - 2011-02-12,29
2011-02-13 - 2011-02-19,29
2011-02-20 - 2011-02-26,31
2011-02-27 - 2011-03-05,32
2011-03-06 - 2011-03-12,30
2011-03-13 - 2011-03-19,29
2011-03-20 - 2011-03-26,30
2011-03-27 - 2011-04-02,29
2011-04-03 - 2011-04-09,31
2011-04-10 - 2011-04-16,32
2011-04-17 - 2011-04-23,29
2011-04-24 - 2011-04-30,30
2011-05-01 - 2011-05-07,32
2011-05-08 - 2011-05-14,32
2011-05-15 - 2011-05-21,31
2011-05-22 - 2011-05-28,29
2011-05-29 - 2011-06-04,28
2011-06-05 - 2011-06-11,29
2011-06-12 - 2011-06-18,29
2011-06-19 - 2011-06-25,28
2011-06-26 - 2011-07-02,26
2011-07-03 - 2011-07-09,26
2011-07-10 - 2011-07-16,27
2011-07-17 - 2011-07-23,27
2011-07-24 - 2011-07-30,27
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,25
2011-08-14 - 2011-08-20,25
2011-08-21 - 2011-08-27,26
2011-08-28 - 2011-09-03,24
2011-09-04 - 2011-09-10,26
2011-09-11 - 2011-09-17,26
2011-09-18 - 2011-09-24,26
2011-09-25 - 2011-10-01,27
2011-10-02 - 2011-10-08,26
2011-10-09 - 2011-10-15,28
2011-10-16 - 2011-10-22,28
2011-10-23 - 2011-10-29,26
2011-10-30 - 2011-11-05,27
2011-11-06 - 2011-11-12,28
2011-11-13 - 2011-11-19,28
2011-11-20 - 2011-11-26,26
2011-11-27 - 2011-12-03,28
2011-12-04 - 2011-12-10,28
2011-12-11 - 2011-12-17,27
2011-12-18 - 2011-12-24,23
2011-12-25 - 2011-12-31,20
2012-01-01 - 2012-01-07,25
2012-01-08 - 2012-01-14,26
2012-01-15 - 2012-01-21,27
2012-01-22 - 2012-01-28,26
2012-01-29 - 2012-02-04,27
2012-02-05 - 2012-02-11,27
2012-02-12 - 2012-02-18,27
2012-02-19 - 2012-02-25,27
2012-02-26 - 2012-03-03,28
2012-03-04 - 2012-03-10,27
2012-03-11 - 2012-03-17,28
2012-03-18 - 2012-03-24,28
2012-03-25 - 2012-03-31,28
2012-04-01 - 2012-04-07,26
2012-04-08 - 2012-04-14,27
2012-04-15 - 2012-04-21,28
2012-04-22 - 2012-04-28,28
2012-04-29 - 2012-05-05,27
2012-05-06 - 2012-05-12,30
2012-05-13 - 2012-05-19,29
2012-05-20 - 2012-05-26,28
2012-05-27 - 2012-06-02,27
2012-06-03 - 2012-06-09,28
2012-06-10 - 2012-06-16,27
2012-06-17 - 2012-06-23,26
2012-06-24 - 2012-06-30,26
2012-07-01 - 2012-07-07,26
2012-07-08 - 2012-07-14,26
2012-07-15 - 2012-07-21,25
2012-07-22 - 2012-07-28,26
2012-07-29 - 2012-08-04,25
2012-08-05 - 2012-08-11,25
2012-08-12 - 2012-08-18,25
2012-08-19 - 2012-08-25,25
2012-08-26 - 2012-09-01,25
2012-09-02 - 2012-09-08,27
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,27
2012-09-23 - 2012-09-29,28
2012-09-30 - 2012-10-06,28
2012-10-07 - 2012-10-13,29
2012-10-14 - 2012-10-20,29
2012-10-21 - 2012-10-27,29
2012-10-28 - 2012-11-03,29
2012-11-04 - 2012-11-10,31
2012-11-11 - 2012-11-17,32
2012-11-18 - 2012-11-24,31
2012-11-25 - 2012-12-01,34
2012-12-02 - 2012-12-08,35
2012-12-09 - 2012-12-15,34
2012-12-16 - 2012-12-22,32
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,31
2013-01-06 - 2013-01-12,35
2013-01-13 - 2013-01-19,37
2013-01-20 - 2013-01-26,38
2013-01-27 - 2013-02-02,40
2013-02-03 - 2013-02-09,40
2013-02-10 - 2013-02-16,41
2013-02-17 - 2013-02-23,40
2013-02-24 - 2013-03-02,42
2013-03-03 - 2013-03-09,41
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,41
2013-03-24 - 2013-03-30,42
2013-03-31 - 2013-04-06,42
2013-04-07 - 2013-04-13,43
2013-04-14 - 2013-04-20,45
2013-04-21 - 2013-04-27,50
2013-04-28 - 2013-05-04,46
2013-05-05 - 2013-05-11,48
2013-05-12 - 2013-05-18,50
2013-05-19 - 2013-05-25,48
2013-05-26 - 2013-06-01,50
2013-06-02 - 2013-06-08,49
2013-06-09 - 2013-06-15,49
2013-06-16 - 2013-06-22,49
2013-06-23 - 2013-06-29,50
2013-06-30 - 2013-07-06,51
2013-07-07 - 2013-07-13,52
2013-07-14 - 2013-07-20,52
2013-07-21 - 2013-07-27,55
2013-07-28 - 2013-08-03,53
2013-08-04 - 2013-08-10,55
2013-08-11 - 2013-08-17,51
2013-08-18 - 2013-08-24,52
2013-08-25 - 2013-08-31,53
2013-09-01 - 2013-09-07,55
2013-09-08 - 2013-09-14,54
2013-09-15 - 2013-09-21,52
2013-09-22 - 2013-09-28,53
2013-09-29 - 2013-10-05,54
2013-10-06 - 2013-10-12,57
2013-10-13 - 2013-10-19,57
2013-10-20 - 2013-10-26,55
2013-10-27 - 2013-11-02,54
2013-11-03 - 2013-11-09,54
2013-11-10 - 2013-11-16,54
2013-11-17 - 2013-11-23,70
2013-11-24 - 2013-11-30,58
2013-12-01 - 2013-12-07,54
2013-12-08 - 2013-12-14,55
2013-12-15 - 2013-12-21,52
2013-12-22 - 2013-12-28,52
2013-12-29 - 2014-01-04,52
2014-01-05 - 2014-01-11,54
2014-01-12 - 2014-01-18,52
2014-01-19 - 2014-01-25,58
2014-01-26 - 2014-02-01,58
2014-02-02 - 2014-02-08,57
2014-02-09 - 2014-02-15,55
2014-02-16 - 2014-02-22,55
2014-02-23 - 2014-03-01,54
2014-03-02 - 2014-03-08,57
2014-03-09 - 2014-03-15,54
2014-03-16 - 2014-03-22,52
2014-03-23 - 2014-03-29,53
2014-03-30 - 2014-04-05,51
2014-04-06 - 2014-04-12,52
2014-04-13 - 2014-04-19,58
2014-04-20 - 2014-04-26,57
2014-04-27 - 2014-05-03,55
2014-05-04 - 2014-05-10,56
2014-05-11 - 2014-05-17,57
2014-05-18 - 2014-05-24,58
2014-05-25 - 2014-05-31,54
2014-06-01 - 2014-06-07,56
2014-06-08 - 2014-06-14,54
2014-06-15 - 2014-06-21,57
2014-06-22 - 2014-06-28,58
2014-06-29 - 2014-07-05,55
2014-07-06 - 2014-07-12,60
2014-07-13 - 2014-07-19,58
2014-07-20 - 2014-07-26,58
2014-07-27 - 2014-08-02,59
2014-08-03 - 2014-08-09,59
2014-08-10 - 2014-08-16,58
2014-08-17 - 2014-08-23,57
2014-08-24 - 2014-08-30,60
2014-08-31 - 2014-09-06,58
2014-09-07 - 2014-09-13,52
2014-09-14 - 2014-09-20,53
2014-09-21 - 2014-09-27,54
2014-09-28 - 2014-10-04,57
2014-10-05 - 2014-10-11,56
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,55
2014-10-26 - 2014-11-01,56
2014-11-02 - 2014-11-08,55
2014-11-09 - 2014-11-15,56
2014-11-16 - 2014-11-22,54
2014-11-23 - 2014-11-29,53
2014-11-30 - 2014-12-06,50
2014-12-07 - 2014-12-13,50
2014-12-14 - 2014-12-20,49
2014-12-21 - 2014-12-27,48
2014-12-28 - 2015-01-03,50
2015-01-04 - 2015-01-10,49
2015-01-11 - 2015-01-17,54
2015-01-18 - 2015-01-24,56
2015-01-25 - 2015-01-31,57
2015-02-01 - 2015-02-07,54
2015-02-08 - 2015-02-14,54
2015-02-15 - 2015-02-21,58
2015-02-22 - 2015-02-28,54
2015-03-01 - 2015-03-07,52
2015-03-08 - 2015-03-14,52
2015-03-15 - 2015-03-21,52
2015-03-22 - 2015-03-28,52
2015-03-29 - 2015-04-04,47
2015-04-05 - 2015-04-11,48
2015-04-12 - 2015-04-18,50
2015-04-19 - 2015-04-25,52
2015-04-26 - 2015-05-02,50
2015-05-03 - 2015-05-09,53
2015-05-10 - 2015-05-16,53
2015-05-17 - 2015-05-23,55
2015-05-24 - 2015-05-30,52
2015-05-31 - 2015-06-06,50
2015-06-07 - 2015-06-13,50
2015-06-14 - 2015-06-20,49
2015-06-21 - 2015-06-27,50
2015-06-28 - 2015-07-04,53
2015-07-05 - 2015-07-11,53
2015-07-12 - 2015-07-18,50
2015-07-19 - 2015-07-25,50
2015-07-26 - 2015-08-01,49
2015-08-02 - 2015-08-08,47
2015-08-09 - 2015-08-15,48
2015-08-16 - 2015-08-22,49
2015-08-23 - 2015-08-29,53
2015-08-30 - 2015-09-05,54
2015-09-06 - 2015-09-12,54
2015-09-13 - 2015-09-19,52
2015-09-20 - 2015-09-26,51
2015-09-27 - 2015-10-03,53
2015-10-04 - 2015-10-10,57
2015-10-11 - 2015-10-17,61
2015-10-18 - 2015-10-24,57
2015-10-25 - 2015-10-31,64
2015-11-01 - 2015-11-07,61
2015-11-08 - 2015-11-14,100
2015-11-15 - 2015-11-21,66
2015-11-22 - 2015-11-28,54
2015-11-29 - 2015-12-05,53
2015-12-06 - 2015-12-12,50
2015-12-13 - 2015-12-19,50
2015-12-20 - 2015-12-26,52
2015-12-27 - 2016-01-02,50
2016-01-03 - 2016-01-09,52
2016-01-10 - 2016-01-16,53
2016-01-17 - 2016-01-23,58
2016-01-24 - 2016-01-30,62
2016-01-31 - 2016-02-06,60
2016-02-07 - 2016-02-13,58
2016-02-14 - 2016-02-20, 


Top regions for adc
Region,adc
Singapore,100
Taiwan,99
Chile,98
Hong Kong,97
Portugal,89
South Korea,88
Argentina,80
Lithuania,78
Slovakia,78
Czech Republic,76
Brazil,74
India,72
China,65
New Zealand,65
United States,64
Netherlands,63
Australia,62
Germany,62
France,61
United Arab Emirates,60
Norway,60
Greece,60
Uruguay,60
Switzerland,60
Philippines,58
Romania,58
Poland,57
Bulgaria,57
Canada,57
Denmark,56
Nigeria,56
Sweden,55
Bangladesh,54
Slovenia,53
Vietnam,53
Malaysia,51
Belgium,51
Tunisia,50
Spain,49
Serbia,49
Austria,48
Costa Rica,48
Israel,47
Pakistan,47
United Kingdom,47
Finland,46
Hungary,44
Croatia,43
Turkey,43
Ireland,39
Japan,39
Mexico,38
South Africa,38
Colombia,37
Ecuador,37
Italy,37
Venezuela,34
Iran,33
Bolivia,33
Morocco,31
Peru,31
Indonesia,28
Thailand,24
Egypt,22
Russia,20
Saudi Arabia,15
Ukraine,14


Top cities for adc
City,adc
Cambridge (United Kingdom),100
Austin (United States),32
Phoenix (United States),25
Bangalore (India),15
Singapore (Singapore),14
Chennai (India),13
Sydney (Australia),12
Santiago (Chile),11
Buenos Aires (Argentina),10
Berlin (Germany),9
Mumbai (India),9
Ho Chi Minh City (Vietnam),8
Amsterdam (Netherlands),8
Los Angeles (United States),7
Frankfurt (Germany),7



Top searches for adc
lol adc,100
adc build,90
best adc,35
how to adc,30
masteries adc,20
adc guide,20
runes adc,20
adc inmate,20
ezreal adc,20
vayne adc,20
ashe adc,15
tristana adc,15
adc converter,15
jinx adc,15
what is adc,15
adc inmate search,15
apple adc,15
runas adc,10
lucian adc,10
thresh adc,10
twitch adc,10
caitlyn adc,10
varus adc,10
sivir adc,10
lol best adc,10
draven adc,10
ezreal adc build,10
graves adc,10
dvi to adc,10
adc teemo,10
adc krone,5
adc champions,5
build ashe adc,5
adc bot,5
acd,5
corki adc,5
adc theatre,5
tristana adc build,5
quinn adc,5
sigma delta adc,5
sar adc,5
adc range,5
flash adc,5
adc map,5
miss fortune adc,5
vayne adc build,5
adc 12,5
kennen adc,5



Rising searches for adc
adc build,Breakout
adc guide,Breakout
adc inmate,Breakout
ashe adc,Breakout
ezreal adc,Breakout
lol adc,Breakout
masteries adc,Breakout
runes adc,Breakout
tristana adc,Breakout
vayne adc,Breakout



