Web Search interest: aks
Worldwide 2004 - present

Interest over time
Week,aks
2005-07-24 - 2005-07-30,56
2005-07-31 - 2005-08-06,40
2005-08-07 - 2005-08-13,56
2005-08-14 - 2005-08-20,49
2005-08-21 - 2005-08-27,59
2005-08-28 - 2005-09-03,54
2005-09-04 - 2005-09-10,60
2005-09-11 - 2005-09-17,57
2005-09-18 - 2005-09-24,52
2005-09-25 - 2005-10-01,58
2005-10-02 - 2005-10-08,57
2005-10-09 - 2005-10-15,59
2005-10-16 - 2005-10-22,56
2005-10-23 - 2005-10-29,58
2005-10-30 - 2005-11-05,49
2005-11-06 - 2005-11-12,57
2005-11-13 - 2005-11-19,53
2005-11-20 - 2005-11-26,52
2005-11-27 - 2005-12-03,49
2005-12-04 - 2005-12-10,56
2005-12-11 - 2005-12-17,55
2005-12-18 - 2005-12-24,52
2005-12-25 - 2005-12-31,48
2006-01-01 - 2006-01-07,46
2006-01-08 - 2006-01-14,56
2006-01-15 - 2006-01-21,51
2006-01-22 - 2006-01-28,61
2006-01-29 - 2006-02-04,60
2006-02-05 - 2006-02-11,58
2006-02-12 - 2006-02-18,57
2006-02-19 - 2006-02-25,57
2006-02-26 - 2006-03-04,61
2006-03-05 - 2006-03-11,60
2006-03-12 - 2006-03-18,58
2006-03-19 - 2006-03-25,55
2006-03-26 - 2006-04-01,56
2006-04-02 - 2006-04-08,56
2006-04-09 - 2006-04-15,55
2006-04-16 - 2006-04-22,54
2006-04-23 - 2006-04-29,56
2006-04-30 - 2006-05-06,61
2006-05-07 - 2006-05-13,59
2006-05-14 - 2006-05-20,57
2006-05-21 - 2006-05-27,54
2006-05-28 - 2006-06-03,54
2006-06-04 - 2006-06-10,52
2006-06-11 - 2006-06-17,54
2006-06-18 - 2006-06-24,55
2006-06-25 - 2006-07-01,48
2006-07-02 - 2006-07-08,54
2006-07-09 - 2006-07-15,52
2006-07-16 - 2006-07-22,51
2006-07-23 - 2006-07-29,50
2006-07-30 - 2006-08-05,51
2006-08-06 - 2006-08-12,47
2006-08-13 - 2006-08-19,58
2006-08-20 - 2006-08-26,48
2006-08-27 - 2006-09-02,49
2006-09-03 - 2006-09-09,52
2006-09-10 - 2006-09-16,51
2006-09-17 - 2006-09-23,51
2006-09-24 - 2006-09-30,50
2006-10-01 - 2006-10-07,47
2006-10-08 - 2006-10-14,52
2006-10-15 - 2006-10-21,51
2006-10-22 - 2006-10-28,47
2006-10-29 - 2006-11-04,51
2006-11-05 - 2006-11-11,56
2006-11-12 - 2006-11-18,53
2006-11-19 - 2006-11-25,51
2006-11-26 - 2006-12-02,53
2006-12-03 - 2006-12-09,50
2006-12-10 - 2006-12-16,52
2006-12-17 - 2006-12-23,50
2006-12-24 - 2006-12-30,46
2006-12-31 - 2007-01-06,48
2007-01-07 - 2007-01-13,54
2007-01-14 - 2007-01-20,49
2007-01-21 - 2007-01-27,52
2007-01-28 - 2007-02-03,51
2007-02-04 - 2007-02-10,54
2007-02-11 - 2007-02-17,50
2007-02-18 - 2007-02-24,49
2007-02-25 - 2007-03-03,61
2007-03-04 - 2007-03-10,50
2007-03-11 - 2007-03-17,57
2007-03-18 - 2007-03-24,55
2007-03-25 - 2007-03-31,50
2007-04-01 - 2007-04-07,52
2007-04-08 - 2007-04-14,45
2007-04-15 - 2007-04-21,57
2007-04-22 - 2007-04-28,52
2007-04-29 - 2007-05-05,54
2007-05-06 - 2007-05-12,67
2007-05-13 - 2007-05-19,59
2007-05-20 - 2007-05-26,63
2007-05-27 - 2007-06-02,57
2007-06-03 - 2007-06-09,56
2007-06-10 - 2007-06-16,54
2007-06-17 - 2007-06-23,54
2007-06-24 - 2007-06-30,55
2007-07-01 - 2007-07-07,62
2007-07-08 - 2007-07-14,57
2007-07-15 - 2007-07-21,54
2007-07-22 - 2007-07-28,58
2007-07-29 - 2007-08-04,54
2007-08-05 - 2007-08-11,56
2007-08-12 - 2007-08-18,54
2007-08-19 - 2007-08-25,58
2007-08-26 - 2007-09-01,58
2007-09-02 - 2007-09-08,56
2007-09-09 - 2007-09-15,58
2007-09-16 - 2007-09-22,61
2007-09-23 - 2007-09-29,56
2007-09-30 - 2007-10-06,58
2007-10-07 - 2007-10-13,57
2007-10-14 - 2007-10-20,60
2007-10-21 - 2007-10-27,54
2007-10-28 - 2007-11-03,58
2007-11-04 - 2007-11-10,56
2007-11-11 - 2007-11-17,59
2007-11-18 - 2007-11-24,60
2007-11-25 - 2007-12-01,61
2007-12-02 - 2007-12-08,59
2007-12-09 - 2007-12-15,54
2007-12-16 - 2007-12-22,55
2007-12-23 - 2007-12-29,53
2007-12-30 - 2008-01-05,55
2008-01-06 - 2008-01-12,57
2008-01-13 - 2008-01-19,59
2008-01-20 - 2008-01-26,63
2008-01-27 - 2008-02-02,64
2008-02-03 - 2008-02-09,58
2008-02-10 - 2008-02-16,63
2008-02-17 - 2008-02-23,60
2008-02-24 - 2008-03-01,61
2008-03-02 - 2008-03-08,58
2008-03-09 - 2008-03-15,61
2008-03-16 - 2008-03-22,57
2008-03-23 - 2008-03-29,59
2008-03-30 - 2008-04-05,55
2008-04-06 - 2008-04-12,60
2008-04-13 - 2008-04-19,58
2008-04-20 - 2008-04-26,59
2008-04-27 - 2008-05-03,54
2008-05-04 - 2008-05-10,57
2008-05-11 - 2008-05-17,54
2008-05-18 - 2008-05-24,54
2008-05-25 - 2008-05-31,53
2008-06-01 - 2008-06-07,54
2008-06-08 - 2008-06-14,57
2008-06-15 - 2008-06-21,56
2008-06-22 - 2008-06-28,58
2008-06-29 - 2008-07-05,62
2008-07-06 - 2008-07-12,58
2008-07-13 - 2008-07-19,60
2008-07-20 - 2008-07-26,56
2008-07-27 - 2008-08-02,54
2008-08-03 - 2008-08-09,59
2008-08-10 - 2008-08-16,56
2008-08-17 - 2008-08-23,52
2008-08-24 - 2008-08-30,56
2008-08-31 - 2008-09-06,54
2008-09-07 - 2008-09-13,60
2008-09-14 - 2008-09-20,60
2008-09-21 - 2008-09-27,55
2008-09-28 - 2008-10-04,54
2008-10-05 - 2008-10-11,59
2008-10-12 - 2008-10-18,62
2008-10-19 - 2008-10-25,59
2008-10-26 - 2008-11-01,58
2008-11-02 - 2008-11-08,57
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,55
2008-11-23 - 2008-11-29,58
2008-11-30 - 2008-12-06,59
2008-12-07 - 2008-12-13,51
2008-12-14 - 2008-12-20,58
2008-12-21 - 2008-12-27,51
2008-12-28 - 2009-01-03,53
2009-01-04 - 2009-01-10,57
2009-01-11 - 2009-01-17,64
2009-01-18 - 2009-01-24,61
2009-01-25 - 2009-01-31,62
2009-02-01 - 2009-02-07,59
2009-02-08 - 2009-02-14,59
2009-02-15 - 2009-02-21,65
2009-02-22 - 2009-02-28,61
2009-03-01 - 2009-03-07,63
2009-03-08 - 2009-03-14,63
2009-03-15 - 2009-03-21,62
2009-03-22 - 2009-03-28,57
2009-03-29 - 2009-04-04,58
2009-04-05 - 2009-04-11,59
2009-04-12 - 2009-04-18,60
2009-04-19 - 2009-04-25,65
2009-04-26 - 2009-05-02,55
2009-05-03 - 2009-05-09,59
2009-05-10 - 2009-05-16,57
2009-05-17 - 2009-05-23,57
2009-05-24 - 2009-05-30,53
2009-05-31 - 2009-06-06,60
2009-06-07 - 2009-06-13,58
2009-06-14 - 2009-06-20,59
2009-06-21 - 2009-06-27,59
2009-06-28 - 2009-07-04,57
2009-07-05 - 2009-07-11,58
2009-07-12 - 2009-07-18,55
2009-07-19 - 2009-07-25,56
2009-07-26 - 2009-08-01,53
2009-08-02 - 2009-08-08,61
2009-08-09 - 2009-08-15,55
2009-08-16 - 2009-08-22,58
2009-08-23 - 2009-08-29,57
2009-08-30 - 2009-09-05,56
2009-09-06 - 2009-09-12,59
2009-09-13 - 2009-09-19,56
2009-09-20 - 2009-09-26,52
2009-09-27 - 2009-10-03,50
2009-10-04 - 2009-10-10,54
2009-10-11 - 2009-10-17,55
2009-10-18 - 2009-10-24,53
2009-10-25 - 2009-10-31,51
2009-11-01 - 2009-11-07,51
2009-11-08 - 2009-11-14,53
2009-11-15 - 2009-11-21,52
2009-11-22 - 2009-11-28,48
2009-11-29 - 2009-12-05,54
2009-12-06 - 2009-12-12,49
2009-12-13 - 2009-12-19,51
2009-12-20 - 2009-12-26,50
2009-12-27 - 2010-01-02,52
2010-01-03 - 2010-01-09,51
2010-01-10 - 2010-01-16,57
2010-01-17 - 2010-01-23,54
2010-01-24 - 2010-01-30,55
2010-01-31 - 2010-02-06,54
2010-02-07 - 2010-02-13,56
2010-02-14 - 2010-02-20,57
2010-02-21 - 2010-02-27,53
2010-02-28 - 2010-03-06,59
2010-03-07 - 2010-03-13,53
2010-03-14 - 2010-03-20,51
2010-03-21 - 2010-03-27,51
2010-03-28 - 2010-04-03,50
2010-04-04 - 2010-04-10,53
2010-04-11 - 2010-04-17,56
2010-04-18 - 2010-04-24,58
2010-04-25 - 2010-05-01,58
2010-05-02 - 2010-05-08,57
2010-05-09 - 2010-05-15,55
2010-05-16 - 2010-05-22,58
2010-05-23 - 2010-05-29,57
2010-05-30 - 2010-06-05,59
2010-06-06 - 2010-06-12,54
2010-06-13 - 2010-06-19,54
2010-06-20 - 2010-06-26,54
2010-06-27 - 2010-07-03,57
2010-07-04 - 2010-07-10,58
2010-07-11 - 2010-07-17,61
2010-07-18 - 2010-07-24,61
2010-07-25 - 2010-07-31,66
2010-08-01 - 2010-08-07,59
2010-08-08 - 2010-08-14,57
2010-08-15 - 2010-08-21,61
2010-08-22 - 2010-08-28,61
2010-08-29 - 2010-09-04,58
2010-09-05 - 2010-09-11,59
2010-09-12 - 2010-09-18,60
2010-09-19 - 2010-09-25,59
2010-09-26 - 2010-10-02,58
2010-10-03 - 2010-10-09,55
2010-10-10 - 2010-10-16,59
2010-10-17 - 2010-10-23,59
2010-10-24 - 2010-10-30,56
2010-10-31 - 2010-11-06,58
2010-11-07 - 2010-11-13,60
2010-11-14 - 2010-11-20,53
2010-11-21 - 2010-11-27,56
2010-11-28 - 2010-12-04,59
2010-12-05 - 2010-12-11,57
2010-12-12 - 2010-12-18,60
2010-12-19 - 2010-12-25,58
2010-12-26 - 2011-01-01,59
2011-01-02 - 2011-01-08,60
2011-01-09 - 2011-01-15,59
2011-01-16 - 2011-01-22,61
2011-01-23 - 2011-01-29,64
2011-01-30 - 2011-02-05,63
2011-02-06 - 2011-02-12,57
2011-02-13 - 2011-02-19,61
2011-02-20 - 2011-02-26,62
2011-02-27 - 2011-03-05,60
2011-03-06 - 2011-03-12,58
2011-03-13 - 2011-03-19,60
2011-03-20 - 2011-03-26,58
2011-03-27 - 2011-04-02,60
2011-04-03 - 2011-04-09,61
2011-04-10 - 2011-04-16,57
2011-04-17 - 2011-04-23,56
2011-04-24 - 2011-04-30,58
2011-05-01 - 2011-05-07,58
2011-05-08 - 2011-05-14,60
2011-05-15 - 2011-05-21,59
2011-05-22 - 2011-05-28,59
2011-05-29 - 2011-06-04,64
2011-06-05 - 2011-06-11,65
2011-06-12 - 2011-06-18,65
2011-06-19 - 2011-06-25,62
2011-06-26 - 2011-07-02,63
2011-07-03 - 2011-07-09,60
2011-07-10 - 2011-07-16,62
2011-07-17 - 2011-07-23,59
2011-07-24 - 2011-07-30,61
2011-07-31 - 2011-08-06,61
2011-08-07 - 2011-08-13,65
2011-08-14 - 2011-08-20,65
2011-08-21 - 2011-08-27,62
2011-08-28 - 2011-09-03,58
2011-09-04 - 2011-09-10,65
2011-09-11 - 2011-09-17,63
2011-09-18 - 2011-09-24,65
2011-09-25 - 2011-10-01,63
2011-10-02 - 2011-10-08,63
2011-10-09 - 2011-10-15,62
2011-10-16 - 2011-10-22,62
2011-10-23 - 2011-10-29,62
2011-10-30 - 2011-11-05,64
2011-11-06 - 2011-11-12,60
2011-11-13 - 2011-11-19,63
2011-11-20 - 2011-11-26,60
2011-11-27 - 2011-12-03,61
2011-12-04 - 2011-12-10,61
2011-12-11 - 2011-12-17,62
2011-12-18 - 2011-12-24,61
2011-12-25 - 2011-12-31,63
2012-01-01 - 2012-01-07,63
2012-01-08 - 2012-01-14,63
2012-01-15 - 2012-01-21,64
2012-01-22 - 2012-01-28,65
2012-01-29 - 2012-02-04,62
2012-02-05 - 2012-02-11,67
2012-02-12 - 2012-02-18,64
2012-02-19 - 2012-02-25,62
2012-02-26 - 2012-03-03,64
2012-03-04 - 2012-03-10,64
2012-03-11 - 2012-03-17,65
2012-03-18 - 2012-03-24,64
2012-03-25 - 2012-03-31,67
2012-04-01 - 2012-04-07,68
2012-04-08 - 2012-04-14,64
2012-04-15 - 2012-04-21,63
2012-04-22 - 2012-04-28,65
2012-04-29 - 2012-05-05,65
2012-05-06 - 2012-05-12,66
2012-05-13 - 2012-05-19,69
2012-05-20 - 2012-05-26,68
2012-05-27 - 2012-06-02,64
2012-06-03 - 2012-06-09,66
2012-06-10 - 2012-06-16,67
2012-06-17 - 2012-06-23,71
2012-06-24 - 2012-06-30,71
2012-07-01 - 2012-07-07,71
2012-07-08 - 2012-07-14,72
2012-07-15 - 2012-07-21,73
2012-07-22 - 2012-07-28,75
2012-07-29 - 2012-08-04,74
2012-08-05 - 2012-08-11,79
2012-08-12 - 2012-08-18,78
2012-08-19 - 2012-08-25,79
2012-08-26 - 2012-09-01,82
2012-09-02 - 2012-09-08,78
2012-09-09 - 2012-09-15,80
2012-09-16 - 2012-09-22,77
2012-09-23 - 2012-09-29,80
2012-09-30 - 2012-10-06,78
2012-10-07 - 2012-10-13,77
2012-10-14 - 2012-10-20,75
2012-10-21 - 2012-10-27,74
2012-10-28 - 2012-11-03,74
2012-11-04 - 2012-11-10,77
2012-11-11 - 2012-11-17,81
2012-11-18 - 2012-11-24,81
2012-11-25 - 2012-12-01,80
2012-12-02 - 2012-12-08,82
2012-12-09 - 2012-12-15,83
2012-12-16 - 2012-12-22,83
2012-12-23 - 2012-12-29,85
2012-12-30 - 2013-01-05,85
2013-01-06 - 2013-01-12,86
2013-01-13 - 2013-01-19,85
2013-01-20 - 2013-01-26,88
2013-01-27 - 2013-02-02,94
2013-02-03 - 2013-02-09,100
2013-02-10 - 2013-02-16,88
2013-02-17 - 2013-02-23,84
2013-02-24 - 2013-03-02,78
2013-03-03 - 2013-03-09,77
2013-03-10 - 2013-03-16,76
2013-03-17 - 2013-03-23,75
2013-03-24 - 2013-03-30,77
2013-03-31 - 2013-04-06,78
2013-04-07 - 2013-04-13,78
2013-04-14 - 2013-04-20,79
2013-04-21 - 2013-04-27,94
2013-04-28 - 2013-05-04,76
2013-05-05 - 2013-05-11,75
2013-05-12 - 2013-05-18,75
2013-05-19 - 2013-05-25,77
2013-05-26 - 2013-06-01,78
2013-06-02 - 2013-06-08,77
2013-06-09 - 2013-06-15,79
2013-06-16 - 2013-06-22,87
2013-06-23 - 2013-06-29,85
2013-06-30 - 2013-07-06,82
2013-07-07 - 2013-07-13,84
2013-07-14 - 2013-07-20,84
2013-07-21 - 2013-07-27,86
2013-07-28 - 2013-08-03,88
2013-08-04 - 2013-08-10,84
2013-08-11 - 2013-08-17,84
2013-08-18 - 2013-08-24,88
2013-08-25 - 2013-08-31,87
2013-09-01 - 2013-09-07,87
2013-09-08 - 2013-09-14,84
2013-09-15 - 2013-09-21,79
2013-09-22 - 2013-09-28,81
2013-09-29 - 2013-10-05,80
2013-10-06 - 2013-10-12,82
2013-10-13 - 2013-10-19,80
2013-10-20 - 2013-10-26,83
2013-10-27 - 2013-11-02,84
2013-11-03 - 2013-11-09,85
2013-11-10 - 2013-11-16,81
2013-11-17 - 2013-11-23,88
2013-11-24 - 2013-11-30,86
2013-12-01 - 2013-12-07,91
2013-12-08 - 2013-12-14,92
2013-12-15 - 2013-12-21,89
2013-12-22 - 2013-12-28,94
2013-12-29 - 2014-01-04,90
2014-01-05 - 2014-01-11,89
2014-01-12 - 2014-01-18,88
2014-01-19 - 2014-01-25,87
2014-01-26 - 2014-02-01,88
2014-02-02 - 2014-02-08,86
2014-02-09 - 2014-02-15,82
2014-02-16 - 2014-02-22,81
2014-02-23 - 2014-03-01,78
2014-03-02 - 2014-03-08,80
2014-03-09 - 2014-03-15,88
2014-03-16 - 2014-03-22,84
2014-03-23 - 2014-03-29,89
2014-03-30 - 2014-04-05,90
2014-04-06 - 2014-04-12,88
2014-04-13 - 2014-04-19,85
2014-04-20 - 2014-04-26,84
2014-04-27 - 2014-05-03,82
2014-05-04 - 2014-05-10,81
2014-05-11 - 2014-05-17,83
2014-05-18 - 2014-05-24,84
2014-05-25 - 2014-05-31,92
2014-06-01 - 2014-06-07,89
2014-06-08 - 2014-06-14,88
2014-06-15 - 2014-06-21,87
2014-06-22 - 2014-06-28,91
2014-06-29 - 2014-07-05,89
2014-07-06 - 2014-07-12,92
2014-07-13 - 2014-07-19,88
2014-07-20 - 2014-07-26,95
2014-07-27 - 2014-08-02,88
2014-08-03 - 2014-08-09,91
2014-08-10 - 2014-08-16,85
2014-08-17 - 2014-08-23,95
2014-08-24 - 2014-08-30,91
2014-08-31 - 2014-09-06,85
2014-09-07 - 2014-09-13,84
2014-09-14 - 2014-09-20,84
2014-09-21 - 2014-09-27,80
2014-09-28 - 2014-10-04,79
2014-10-05 - 2014-10-11,80
2014-10-12 - 2014-10-18,78
2014-10-19 - 2014-10-25,77
2014-10-26 - 2014-11-01,76
2014-11-02 - 2014-11-08,79
2014-11-09 - 2014-11-15,79
2014-11-16 - 2014-11-22,78
2014-11-23 - 2014-11-29,77
2014-11-30 - 2014-12-06,82
2014-12-07 - 2014-12-13,79
2014-12-14 - 2014-12-20,78
2014-12-21 - 2014-12-27,80
2014-12-28 - 2015-01-03,78
2015-01-04 - 2015-01-10,78
2015-01-11 - 2015-01-17,80
2015-01-18 - 2015-01-24,76
2015-01-25 - 2015-01-31,78
2015-02-01 - 2015-02-07,75
2015-02-08 - 2015-02-14,76
2015-02-15 - 2015-02-21,73
2015-02-22 - 2015-02-28,72
2015-03-01 - 2015-03-07,74
2015-03-08 - 2015-03-14,71
2015-03-15 - 2015-03-21,74
2015-03-22 - 2015-03-28,75
2015-03-29 - 2015-04-04,71
2015-04-05 - 2015-04-11,75
2015-04-12 - 2015-04-18,76
2015-04-19 - 2015-04-25,73
2015-04-26 - 2015-05-02,72
2015-05-03 - 2015-05-09,71
2015-05-10 - 2015-05-16,69
2015-05-17 - 2015-05-23,74
2015-05-24 - 2015-05-30,69
2015-05-31 - 2015-06-06,69
2015-06-07 - 2015-06-13,73
2015-06-14 - 2015-06-20,73
2015-06-21 - 2015-06-27,73
2015-06-28 - 2015-07-04,72
2015-07-05 - 2015-07-11,72
2015-07-12 - 2015-07-18,70
2015-07-19 - 2015-07-25,72
2015-07-26 - 2015-08-01,71
2015-08-02 - 2015-08-08,71
2015-08-09 - 2015-08-15,71
2015-08-16 - 2015-08-22,69
2015-08-23 - 2015-08-29,70
2015-08-30 - 2015-09-05,72
2015-09-06 - 2015-09-12,67
2015-09-13 - 2015-09-19,67
2015-09-20 - 2015-09-26,63
2015-09-27 - 2015-10-03,64
2015-10-04 - 2015-10-10,66
2015-10-11 - 2015-10-17,65
2015-10-18 - 2015-10-24,64
2015-10-25 - 2015-10-31,63
2015-11-01 - 2015-11-07,62
2015-11-08 - 2015-11-14,60
2015-11-15 - 2015-11-21,65
2015-11-22 - 2015-11-28,67
2015-11-29 - 2015-12-05,71
2015-12-06 - 2015-12-12,64
2015-12-13 - 2015-12-19,63
2015-12-20 - 2015-12-26,64
2015-12-27 - 2016-01-02,60
2016-01-03 - 2016-01-09,60
2016-01-10 - 2016-01-16,59
2016-01-17 - 2016-01-23,61
2016-01-24 - 2016-01-30,61
2016-01-31 - 2016-02-06,61
2016-02-07 - 2016-02-13,61
2016-02-14 - 2016-02-20, 


Top regions for aks
Region,aks
Iran,100
Serbia,33
Afghanistan,29
St. Helena,22
Pakistan,9
Syria,8
Turkey,6
Greece,4
Austria,4
Norway,4
Bangladesh,4
Poland,4
Germany,3
United Arab Emirates,3
Nigeria,3
Denmark,3
India,2
Lithuania,2
Slovenia,2
Belgium,2
Bolivia,1
Switzerland,1
Croatia,1
Netherlands,1
Malaysia,1
Sweden,1
Venezuela,1
Czech Republic,1
United Kingdom,1
Colombia,1
Finland,1
Ireland,1
Brazil,1
United States,1
Indonesia,1
Japan,1
Ukraine,1
Bulgaria,1
Peru,1
Hungary,1
Saudi Arabia,1
Australia,1
Romania,1
Canada,1
Portugal,1
Argentina,1
Chile,1
France,1


Top cities for aks
City,aks
Tehrān (Iran),100
Shirāz (Iran),100
Isfahan (Iran),81
Karaj (Iran),72
Tabriz (Iran),54
Ahvaz (Iran),49
Novi Sad (Serbia),34
Belgrade (Serbia),27
Samsun (Turkey),20
Katowice (Poland),8
Karachi (Pakistan),8
Sheridan (United States),7
Lahore (Pakistan),6
Istanbul (Turkey),5
Ankara (Turkey),5



Top searches for aks
aks irani,100
aks kos,90
aks tv,85
aks dokhtar,75
aks zan,55
aks movie,45
aks express,45
kurirska sluzba aks,40
aks 74u,40
aks kurir,40
aks online,40
aks alser,35
aks sexi,35
aks drama,35
aks chorzów,35
aks fm,35
aks lokht,30
aks kir,30
aks ziba,30
aks 74,30
aks nedir,30
aks jeeves,30
aks university,30
aks brza posta,25
aks kon,25
aks love,25
aks stock,25
aks bazigaran,25
wdr aks,25
samsun aks tv,25
aks salon,25
aks super,20
aks asheghane,20
aks dokhtar irani,20
aks porto heli,20
aks 1300,20
aks 47,20
aks school,20
aks sxs,20
aks novel,20
aks beograd,20
aks boston,20
aks bahal,15
aks im wandschrank,15
aks sks,15
aks mashin,15
aks kos irani,15



Rising searches for aks
aks 74u,Breakout
aks dokhtar,Breakout
aks express,Breakout
aks movie,Breakout
aks tv,Breakout
aks zan,Breakout
kurirska sluzba aks,Breakout
aks kos,+80%
aks irani,+60%



