Web Search interest: ale
Worldwide 2004 - present

Interest over time
Week,ale
2007-09-02 - 2007-09-08,44
2007-09-09 - 2007-09-15,44
2007-09-16 - 2007-09-22,46
2007-09-23 - 2007-09-29,45
2007-09-30 - 2007-10-06,49
2007-10-07 - 2007-10-13,50
2007-10-14 - 2007-10-20,50
2007-10-21 - 2007-10-27,50
2007-10-28 - 2007-11-03,51
2007-11-04 - 2007-11-10,52
2007-11-11 - 2007-11-17,53
2007-11-18 - 2007-11-24,58
2007-11-25 - 2007-12-01,58
2007-12-02 - 2007-12-08,58
2007-12-09 - 2007-12-15,54
2007-12-16 - 2007-12-22,53
2007-12-23 - 2007-12-29,52
2007-12-30 - 2008-01-05,53
2008-01-06 - 2008-01-12,55
2008-01-13 - 2008-01-19,59
2008-01-20 - 2008-01-26,58
2008-01-27 - 2008-02-02,55
2008-02-03 - 2008-02-09,54
2008-02-10 - 2008-02-16,53
2008-02-17 - 2008-02-23,52
2008-02-24 - 2008-03-01,51
2008-03-02 - 2008-03-08,51
2008-03-09 - 2008-03-15,53
2008-03-16 - 2008-03-22,56
2008-03-23 - 2008-03-29,54
2008-03-30 - 2008-04-05,52
2008-04-06 - 2008-04-12,53
2008-04-13 - 2008-04-19,51
2008-04-20 - 2008-04-26,49
2008-04-27 - 2008-05-03,48
2008-05-04 - 2008-05-10,53
2008-05-11 - 2008-05-17,53
2008-05-18 - 2008-05-24,54
2008-05-25 - 2008-05-31,53
2008-06-01 - 2008-06-07,55
2008-06-08 - 2008-06-14,51
2008-06-15 - 2008-06-21,51
2008-06-22 - 2008-06-28,50
2008-06-29 - 2008-07-05,47
2008-07-06 - 2008-07-12,46
2008-07-13 - 2008-07-19,45
2008-07-20 - 2008-07-26,46
2008-07-27 - 2008-08-02,52
2008-08-03 - 2008-08-09,47
2008-08-10 - 2008-08-16,45
2008-08-17 - 2008-08-23,46
2008-08-24 - 2008-08-30,46
2008-08-31 - 2008-09-06,45
2008-09-07 - 2008-09-13,49
2008-09-14 - 2008-09-20,51
2008-09-21 - 2008-09-27,52
2008-09-28 - 2008-10-04,55
2008-10-05 - 2008-10-11,51
2008-10-12 - 2008-10-18,52
2008-10-19 - 2008-10-25,52
2008-10-26 - 2008-11-01,52
2008-11-02 - 2008-11-08,52
2008-11-09 - 2008-11-15,55
2008-11-16 - 2008-11-22,54
2008-11-23 - 2008-11-29,55
2008-11-30 - 2008-12-06,55
2008-12-07 - 2008-12-13,56
2008-12-14 - 2008-12-20,53
2008-12-21 - 2008-12-27,50
2008-12-28 - 2009-01-03,57
2009-01-04 - 2009-01-10,57
2009-01-11 - 2009-01-17,60
2009-01-18 - 2009-01-24,61
2009-01-25 - 2009-01-31,57
2009-02-01 - 2009-02-07,53
2009-02-08 - 2009-02-14,55
2009-02-15 - 2009-02-21,57
2009-02-22 - 2009-02-28,55
2009-03-01 - 2009-03-07,53
2009-03-08 - 2009-03-14,55
2009-03-15 - 2009-03-21,58
2009-03-22 - 2009-03-28,57
2009-03-29 - 2009-04-04,54
2009-04-05 - 2009-04-11,53
2009-04-12 - 2009-04-18,48
2009-04-19 - 2009-04-25,50
2009-04-26 - 2009-05-02,53
2009-05-03 - 2009-05-09,54
2009-05-10 - 2009-05-16,58
2009-05-17 - 2009-05-23,56
2009-05-24 - 2009-05-30,56
2009-05-31 - 2009-06-06,54
2009-06-07 - 2009-06-13,52
2009-06-14 - 2009-06-20,52
2009-06-21 - 2009-06-27,51
2009-06-28 - 2009-07-04,47
2009-07-05 - 2009-07-11,49
2009-07-12 - 2009-07-18,48
2009-07-19 - 2009-07-25,49
2009-07-26 - 2009-08-01,48
2009-08-02 - 2009-08-08,50
2009-08-09 - 2009-08-15,49
2009-08-16 - 2009-08-22,49
2009-08-23 - 2009-08-29,51
2009-08-30 - 2009-09-05,51
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,52
2009-09-20 - 2009-09-26,54
2009-09-27 - 2009-10-03,54
2009-10-04 - 2009-10-10,55
2009-10-11 - 2009-10-17,58
2009-10-18 - 2009-10-24,56
2009-10-25 - 2009-10-31,56
2009-11-01 - 2009-11-07,55
2009-11-08 - 2009-11-14,56
2009-11-15 - 2009-11-21,58
2009-11-22 - 2009-11-28,56
2009-11-29 - 2009-12-05,56
2009-12-06 - 2009-12-12,64
2009-12-13 - 2009-12-19,55
2009-12-20 - 2009-12-26,52
2009-12-27 - 2010-01-02,58
2010-01-03 - 2010-01-09,57
2010-01-10 - 2010-01-16,60
2010-01-17 - 2010-01-23,59
2010-01-24 - 2010-01-30,56
2010-01-31 - 2010-02-06,57
2010-02-07 - 2010-02-13,57
2010-02-14 - 2010-02-20,58
2010-02-21 - 2010-02-27,56
2010-02-28 - 2010-03-06,60
2010-03-07 - 2010-03-13,62
2010-03-14 - 2010-03-20,62
2010-03-21 - 2010-03-27,58
2010-03-28 - 2010-04-03,65
2010-04-04 - 2010-04-10,62
2010-04-11 - 2010-04-17,60
2010-04-18 - 2010-04-24,58
2010-04-25 - 2010-05-01,61
2010-05-02 - 2010-05-08,60
2010-05-09 - 2010-05-15,62
2010-05-16 - 2010-05-22,61
2010-05-23 - 2010-05-29,60
2010-05-30 - 2010-06-05,62
2010-06-06 - 2010-06-12,58
2010-06-13 - 2010-06-19,60
2010-06-20 - 2010-06-26,59
2010-06-27 - 2010-07-03,57
2010-07-04 - 2010-07-10,58
2010-07-11 - 2010-07-17,54
2010-07-18 - 2010-07-24,54
2010-07-25 - 2010-07-31,55
2010-08-01 - 2010-08-07,54
2010-08-08 - 2010-08-14,54
2010-08-15 - 2010-08-21,54
2010-08-22 - 2010-08-28,53
2010-08-29 - 2010-09-04,53
2010-09-05 - 2010-09-11,57
2010-09-12 - 2010-09-18,55
2010-09-19 - 2010-09-25,59
2010-09-26 - 2010-10-02,59
2010-10-03 - 2010-10-09,61
2010-10-10 - 2010-10-16,62
2010-10-17 - 2010-10-23,64
2010-10-24 - 2010-10-30,63
2010-10-31 - 2010-11-06,62
2010-11-07 - 2010-11-13,63
2010-11-14 - 2010-11-20,65
2010-11-21 - 2010-11-27,64
2010-11-28 - 2010-12-04,63
2010-12-05 - 2010-12-11,65
2010-12-12 - 2010-12-18,66
2010-12-19 - 2010-12-25,64
2010-12-26 - 2011-01-01,67
2011-01-02 - 2011-01-08,65
2011-01-09 - 2011-01-15,66
2011-01-16 - 2011-01-22,66
2011-01-23 - 2011-01-29,65
2011-01-30 - 2011-02-05,62
2011-02-06 - 2011-02-12,63
2011-02-13 - 2011-02-19,63
2011-02-20 - 2011-02-26,61
2011-02-27 - 2011-03-05,61
2011-03-06 - 2011-03-12,60
2011-03-13 - 2011-03-19,61
2011-03-20 - 2011-03-26,61
2011-03-27 - 2011-04-02,61
2011-04-03 - 2011-04-09,61
2011-04-10 - 2011-04-16,60
2011-04-17 - 2011-04-23,57
2011-04-24 - 2011-04-30,58
2011-05-01 - 2011-05-07,61
2011-05-08 - 2011-05-14,61
2011-05-15 - 2011-05-21,62
2011-05-22 - 2011-05-28,63
2011-05-29 - 2011-06-04,63
2011-06-05 - 2011-06-11,62
2011-06-12 - 2011-06-18,64
2011-06-19 - 2011-06-25,64
2011-06-26 - 2011-07-02,63
2011-07-03 - 2011-07-09,62
2011-07-10 - 2011-07-16,61
2011-07-17 - 2011-07-23,61
2011-07-24 - 2011-07-30,60
2011-07-31 - 2011-08-06,59
2011-08-07 - 2011-08-13,58
2011-08-14 - 2011-08-20,57
2011-08-21 - 2011-08-27,59
2011-08-28 - 2011-09-03,59
2011-09-04 - 2011-09-10,60
2011-09-11 - 2011-09-17,62
2011-09-18 - 2011-09-24,62
2011-09-25 - 2011-10-01,65
2011-10-02 - 2011-10-08,64
2011-10-09 - 2011-10-15,62
2011-10-16 - 2011-10-22,63
2011-10-23 - 2011-10-29,65
2011-10-30 - 2011-11-05,67
2011-11-06 - 2011-11-12,67
2011-11-13 - 2011-11-19,70
2011-11-20 - 2011-11-26,70
2011-11-27 - 2011-12-03,67
2011-12-04 - 2011-12-10,72
2011-12-11 - 2011-12-17,69
2011-12-18 - 2011-12-24,66
2011-12-25 - 2011-12-31,69
2012-01-01 - 2012-01-07,65
2012-01-08 - 2012-01-14,64
2012-01-15 - 2012-01-21,65
2012-01-22 - 2012-01-28,66
2012-01-29 - 2012-02-04,67
2012-02-05 - 2012-02-11,65
2012-02-12 - 2012-02-18,64
2012-02-19 - 2012-02-25,64
2012-02-26 - 2012-03-03,63
2012-03-04 - 2012-03-10,61
2012-03-11 - 2012-03-17,63
2012-03-18 - 2012-03-24,59
2012-03-25 - 2012-03-31,61
2012-04-01 - 2012-04-07,60
2012-04-08 - 2012-04-14,57
2012-04-15 - 2012-04-21,61
2012-04-22 - 2012-04-28,61
2012-04-29 - 2012-05-05,61
2012-05-06 - 2012-05-12,63
2012-05-13 - 2012-05-19,65
2012-05-20 - 2012-05-26,62
2012-05-27 - 2012-06-02,63
2012-06-03 - 2012-06-09,62
2012-06-10 - 2012-06-16,61
2012-06-17 - 2012-06-23,60
2012-06-24 - 2012-06-30,61
2012-07-01 - 2012-07-07,58
2012-07-08 - 2012-07-14,58
2012-07-15 - 2012-07-21,60
2012-07-22 - 2012-07-28,62
2012-07-29 - 2012-08-04,59
2012-08-05 - 2012-08-11,58
2012-08-12 - 2012-08-18,60
2012-08-19 - 2012-08-25,62
2012-08-26 - 2012-09-01,64
2012-09-02 - 2012-09-08,63
2012-09-09 - 2012-09-15,61
2012-09-16 - 2012-09-22,63
2012-09-23 - 2012-09-29,65
2012-09-30 - 2012-10-06,63
2012-10-07 - 2012-10-13,62
2012-10-14 - 2012-10-20,62
2012-10-21 - 2012-10-27,63
2012-10-28 - 2012-11-03,62
2012-11-04 - 2012-11-10,63
2012-11-11 - 2012-11-17,63
2012-11-18 - 2012-11-24,65
2012-11-25 - 2012-12-01,64
2012-12-02 - 2012-12-08,64
2012-12-09 - 2012-12-15,67
2012-12-16 - 2012-12-22,63
2012-12-23 - 2012-12-29,67
2012-12-30 - 2013-01-05,66
2013-01-06 - 2013-01-12,62
2013-01-13 - 2013-01-19,63
2013-01-20 - 2013-01-26,69
2013-01-27 - 2013-02-02,66
2013-02-03 - 2013-02-09,65
2013-02-10 - 2013-02-16,65
2013-02-17 - 2013-02-23,65
2013-02-24 - 2013-03-02,63
2013-03-03 - 2013-03-09,64
2013-03-10 - 2013-03-16,64
2013-03-17 - 2013-03-23,64
2013-03-24 - 2013-03-30,66
2013-03-31 - 2013-04-06,62
2013-04-07 - 2013-04-13,63
2013-04-14 - 2013-04-20,62
2013-04-21 - 2013-04-27,61
2013-04-28 - 2013-05-04,58
2013-05-05 - 2013-05-11,59
2013-05-12 - 2013-05-18,62
2013-05-19 - 2013-05-25,62
2013-05-26 - 2013-06-01,61
2013-06-02 - 2013-06-08,62
2013-06-09 - 2013-06-15,62
2013-06-16 - 2013-06-22,61
2013-06-23 - 2013-06-29,60
2013-06-30 - 2013-07-06,62
2013-07-07 - 2013-07-13,59
2013-07-14 - 2013-07-20,60
2013-07-21 - 2013-07-27,58
2013-07-28 - 2013-08-03,60
2013-08-04 - 2013-08-10,60
2013-08-11 - 2013-08-17,59
2013-08-18 - 2013-08-24,59
2013-08-25 - 2013-08-31,58
2013-09-01 - 2013-09-07,60
2013-09-08 - 2013-09-14,60
2013-09-15 - 2013-09-21,60
2013-09-22 - 2013-09-28,61
2013-09-29 - 2013-10-05,100
2013-10-06 - 2013-10-12,64
2013-10-13 - 2013-10-19,75
2013-10-20 - 2013-10-26,65
2013-10-27 - 2013-11-02,64
2013-11-03 - 2013-11-09,65
2013-11-10 - 2013-11-16,67
2013-11-17 - 2013-11-23,67
2013-11-24 - 2013-11-30,68
2013-12-01 - 2013-12-07,66
2013-12-08 - 2013-12-14,66
2013-12-15 - 2013-12-21,65
2013-12-22 - 2013-12-28,72
2013-12-29 - 2014-01-04,73
2014-01-05 - 2014-01-11,71
2014-01-12 - 2014-01-18,71
2014-01-19 - 2014-01-25,71
2014-01-26 - 2014-02-01,69
2014-02-02 - 2014-02-08,68
2014-02-09 - 2014-02-15,66
2014-02-16 - 2014-02-22,66
2014-02-23 - 2014-03-01,65
2014-03-02 - 2014-03-08,66
2014-03-09 - 2014-03-15,66
2014-03-16 - 2014-03-22,65
2014-03-23 - 2014-03-29,66
2014-03-30 - 2014-04-05,65
2014-04-06 - 2014-04-12,64
2014-04-13 - 2014-04-19,63
2014-04-20 - 2014-04-26,64
2014-04-27 - 2014-05-03,63
2014-05-04 - 2014-05-10,66
2014-05-11 - 2014-05-17,67
2014-05-18 - 2014-05-24,64
2014-05-25 - 2014-05-31,64
2014-06-01 - 2014-06-07,65
2014-06-08 - 2014-06-14,65
2014-06-15 - 2014-06-21,65
2014-06-22 - 2014-06-28,65
2014-06-29 - 2014-07-05,67
2014-07-06 - 2014-07-12,63
2014-07-13 - 2014-07-19,63
2014-07-20 - 2014-07-26,64
2014-07-27 - 2014-08-02,64
2014-08-03 - 2014-08-09,65
2014-08-10 - 2014-08-16,62
2014-08-17 - 2014-08-23,64
2014-08-24 - 2014-08-30,63
2014-08-31 - 2014-09-06,63
2014-09-07 - 2014-09-13,63
2014-09-14 - 2014-09-20,63
2014-09-21 - 2014-09-27,65
2014-09-28 - 2014-10-04,66
2014-10-05 - 2014-10-11,64
2014-10-12 - 2014-10-18,65
2014-10-19 - 2014-10-25,67
2014-10-26 - 2014-11-01,68
2014-11-02 - 2014-11-08,70
2014-11-09 - 2014-11-15,68
2014-11-16 - 2014-11-22,67
2014-11-23 - 2014-11-29,67
2014-11-30 - 2014-12-06,66
2014-12-07 - 2014-12-13,69
2014-12-14 - 2014-12-20,68
2014-12-21 - 2014-12-27,72
2014-12-28 - 2015-01-03,77
2015-01-04 - 2015-01-10,67
2015-01-11 - 2015-01-17,68
2015-01-18 - 2015-01-24,69
2015-01-25 - 2015-01-31,67
2015-02-01 - 2015-02-07,70
2015-02-08 - 2015-02-14,72
2015-02-15 - 2015-02-21,75
2015-02-22 - 2015-02-28,71
2015-03-01 - 2015-03-07,66
2015-03-08 - 2015-03-14,67
2015-03-15 - 2015-03-21,67
2015-03-22 - 2015-03-28,65
2015-03-29 - 2015-04-04,65
2015-04-05 - 2015-04-11,62
2015-04-12 - 2015-04-18,61
2015-04-19 - 2015-04-25,63
2015-04-26 - 2015-05-02,66
2015-05-03 - 2015-05-09,65
2015-05-10 - 2015-05-16,65
2015-05-17 - 2015-05-23,64
2015-05-24 - 2015-05-30,64
2015-05-31 - 2015-06-06,64
2015-06-07 - 2015-06-13,65
2015-06-14 - 2015-06-20,65
2015-06-21 - 2015-06-27,66
2015-06-28 - 2015-07-04,65
2015-07-05 - 2015-07-11,63
2015-07-12 - 2015-07-18,63
2015-07-19 - 2015-07-25,64
2015-07-26 - 2015-08-01,66
2015-08-02 - 2015-08-08,65
2015-08-09 - 2015-08-15,64
2015-08-16 - 2015-08-22,65
2015-08-23 - 2015-08-29,62
2015-08-30 - 2015-09-05,62
2015-09-06 - 2015-09-12,63
2015-09-13 - 2015-09-19,64
2015-09-20 - 2015-09-26,65
2015-09-27 - 2015-10-03,68
2015-10-04 - 2015-10-10,66
2015-10-11 - 2015-10-17,66
2015-10-18 - 2015-10-24,65
2015-10-25 - 2015-10-31,66
2015-11-01 - 2015-11-07,96
2015-11-08 - 2015-11-14,72
2015-11-15 - 2015-11-21,68
2015-11-22 - 2015-11-28,69
2015-11-29 - 2015-12-05,65
2015-12-06 - 2015-12-12,69
2015-12-13 - 2015-12-19,70
2015-12-20 - 2015-12-26,73
2015-12-27 - 2016-01-02,77
2016-01-03 - 2016-01-09,66
2016-01-10 - 2016-01-16,67
2016-01-17 - 2016-01-23,70
2016-01-24 - 2016-01-30,70
2016-01-31 - 2016-02-06,67
2016-02-07 - 2016-02-13,67
2016-02-14 - 2016-02-20, 


Top regions for ale
Region,ale
Moldova,100
Romania,94
Poland,48
Czech Republic,19
Finland,19
Slovakia,15
Argentina,14
Sweden,10
New Zealand,9
Uruguay,9
United States,9
Guatemala,9
Italy,7
United Kingdom,7
Australia,5
United Arab Emirates,5
Norway,5
Canada,5
Belgium,4
Mexico,4
Ireland,4
Chile,4
Denmark,3
Brazil,3
Spain,3
Portugal,3
Peru,3
Pakistan,2
Germany,2
Switzerland,2
Austria,2
Netherlands,2
Greece,2
India,2
South Africa,2
Venezuela,2
Philippines,2
Singapore,2
Indonesia,2
Malaysia,1
Saudi Arabia,1
Colombia,1
France,1
Turkey,1


Top cities for ale
City,ale
Iași (Romania),100
Chisinau (Moldova),98
Bucharest (Romania),77
Lublin (Poland),43
Lodz (Poland),43
Poznan (Poland),39
Krakow (Poland),39
Warsaw (Poland),38
Gdansk (Poland),38
Katowice (Poland),38
Wroclaw (Poland),37
Helsinki (Finland),25
Gothenburg (Sweden),24
Prague (Czech Republic),15
Buenos Aires (Argentina),13



Top searches for ale
ale ale,100
ale house,10
ginger ale,5
ale beer,5
pale ale,5
real ale,0
ale kino,0
brown ale,0
red ale,0
carolina ale house,0
the ale house,0
ale hop,0
matias ale,0
steak and ale,0
ipa,0
ale house menu,0
ale sergi,0
karavali ale,0
pumpkin ale,0
apple ale,0
amber ale,0
cream ale,0
india pale ale,0
millers ale house,0
newcastle brown ale,0
ale e franz,0
miller ale house,0
ale ale aleksandra,0
ale jaja,0
ginger ale recipe,0
ale house orlando,0
ale kino program,0
capital ale house,0
ale 8,0
ale gratka,0
ale sanz,0
scotch ale,0
beer advocate,0
dead guy ale,0
speights ale house,0
ale kino tv,0
arrogant bastard ale,0
ale mendoza,0
ale urwał,0
cakes and ale,0
bass ale,0
ginger ale drinks,0
yard of ale,0
lager vs ale,0
milwaukee ale house,0



Rising searches for ale
ale sergi,Breakout
karavali ale,Breakout
matias ale,Breakout
millers ale house,Breakout
ale hop,+300%
carolina ale house,+200%
ipa,+200%
ale house menu,+190%
apple ale,+130%
ale kino,+120%



