Web Search interest: asc
Worldwide 2004 - present

Interest over time
Week,asc
2007-03-25 - 2007-03-31,78
2007-04-01 - 2007-04-07,77
2007-04-08 - 2007-04-14,77
2007-04-15 - 2007-04-21,79
2007-04-22 - 2007-04-28,76
2007-04-29 - 2007-05-05,76
2007-05-06 - 2007-05-12,80
2007-05-13 - 2007-05-19,82
2007-05-20 - 2007-05-26,79
2007-05-27 - 2007-06-02,76
2007-06-03 - 2007-06-09,73
2007-06-10 - 2007-06-16,79
2007-06-17 - 2007-06-23,80
2007-06-24 - 2007-06-30,72
2007-07-01 - 2007-07-07,74
2007-07-08 - 2007-07-14,78
2007-07-15 - 2007-07-21,79
2007-07-22 - 2007-07-28,76
2007-07-29 - 2007-08-04,76
2007-08-05 - 2007-08-11,84
2007-08-12 - 2007-08-18,79
2007-08-19 - 2007-08-25,78
2007-08-26 - 2007-09-01,80
2007-09-02 - 2007-09-08,82
2007-09-09 - 2007-09-15,87
2007-09-16 - 2007-09-22,79
2007-09-23 - 2007-09-29,80
2007-09-30 - 2007-10-06,80
2007-10-07 - 2007-10-13,76
2007-10-14 - 2007-10-20,79
2007-10-21 - 2007-10-27,74
2007-10-28 - 2007-11-03,75
2007-11-04 - 2007-11-10,77
2007-11-11 - 2007-11-17,77
2007-11-18 - 2007-11-24,76
2007-11-25 - 2007-12-01,83
2007-12-02 - 2007-12-08,80
2007-12-09 - 2007-12-15,70
2007-12-16 - 2007-12-22,68
2007-12-23 - 2007-12-29,54
2007-12-30 - 2008-01-05,66
2008-01-06 - 2008-01-12,79
2008-01-13 - 2008-01-19,78
2008-01-20 - 2008-01-26,75
2008-01-27 - 2008-02-02,79
2008-02-03 - 2008-02-09,75
2008-02-10 - 2008-02-16,77
2008-02-17 - 2008-02-23,74
2008-02-24 - 2008-03-01,74
2008-03-02 - 2008-03-08,75
2008-03-09 - 2008-03-15,75
2008-03-16 - 2008-03-22,73
2008-03-23 - 2008-03-29,72
2008-03-30 - 2008-04-05,75
2008-04-06 - 2008-04-12,77
2008-04-13 - 2008-04-19,83
2008-04-20 - 2008-04-26,78
2008-04-27 - 2008-05-03,74
2008-05-04 - 2008-05-10,75
2008-05-11 - 2008-05-17,78
2008-05-18 - 2008-05-24,71
2008-05-25 - 2008-05-31,72
2008-06-01 - 2008-06-07,75
2008-06-08 - 2008-06-14,73
2008-06-15 - 2008-06-21,75
2008-06-22 - 2008-06-28,71
2008-06-29 - 2008-07-05,73
2008-07-06 - 2008-07-12,74
2008-07-13 - 2008-07-19,76
2008-07-20 - 2008-07-26,75
2008-07-27 - 2008-08-02,76
2008-08-03 - 2008-08-09,72
2008-08-10 - 2008-08-16,74
2008-08-17 - 2008-08-23,73
2008-08-24 - 2008-08-30,76
2008-08-31 - 2008-09-06,79
2008-09-07 - 2008-09-13,81
2008-09-14 - 2008-09-20,78
2008-09-21 - 2008-09-27,73
2008-09-28 - 2008-10-04,72
2008-10-05 - 2008-10-11,75
2008-10-12 - 2008-10-18,75
2008-10-19 - 2008-10-25,77
2008-10-26 - 2008-11-01,75
2008-11-02 - 2008-11-08,70
2008-11-09 - 2008-11-15,78
2008-11-16 - 2008-11-22,71
2008-11-23 - 2008-11-29,70
2008-11-30 - 2008-12-06,71
2008-12-07 - 2008-12-13,74
2008-12-14 - 2008-12-20,66
2008-12-21 - 2008-12-27,53
2008-12-28 - 2009-01-03,54
2009-01-04 - 2009-01-10,72
2009-01-11 - 2009-01-17,72
2009-01-18 - 2009-01-24,75
2009-01-25 - 2009-01-31,71
2009-02-01 - 2009-02-07,69
2009-02-08 - 2009-02-14,75
2009-02-15 - 2009-02-21,75
2009-02-22 - 2009-02-28,75
2009-03-01 - 2009-03-07,76
2009-03-08 - 2009-03-14,78
2009-03-15 - 2009-03-21,77
2009-03-22 - 2009-03-28,75
2009-03-29 - 2009-04-04,72
2009-04-05 - 2009-04-11,74
2009-04-12 - 2009-04-18,71
2009-04-19 - 2009-04-25,70
2009-04-26 - 2009-05-02,72
2009-05-03 - 2009-05-09,74
2009-05-10 - 2009-05-16,75
2009-05-17 - 2009-05-23,70
2009-05-24 - 2009-05-30,72
2009-05-31 - 2009-06-06,69
2009-06-07 - 2009-06-13,68
2009-06-14 - 2009-06-20,71
2009-06-21 - 2009-06-27,71
2009-06-28 - 2009-07-04,68
2009-07-05 - 2009-07-11,71
2009-07-12 - 2009-07-18,69
2009-07-19 - 2009-07-25,68
2009-07-26 - 2009-08-01,63
2009-08-02 - 2009-08-08,67
2009-08-09 - 2009-08-15,70
2009-08-16 - 2009-08-22,70
2009-08-23 - 2009-08-29,77
2009-08-30 - 2009-09-05,74
2009-09-06 - 2009-09-12,75
2009-09-13 - 2009-09-19,76
2009-09-20 - 2009-09-26,74
2009-09-27 - 2009-10-03,73
2009-10-04 - 2009-10-10,71
2009-10-11 - 2009-10-17,74
2009-10-18 - 2009-10-24,71
2009-10-25 - 2009-10-31,69
2009-11-01 - 2009-11-07,70
2009-11-08 - 2009-11-14,70
2009-11-15 - 2009-11-21,67
2009-11-22 - 2009-11-28,64
2009-11-29 - 2009-12-05,66
2009-12-06 - 2009-12-12,64
2009-12-13 - 2009-12-19,65
2009-12-20 - 2009-12-26,55
2009-12-27 - 2010-01-02,52
2010-01-03 - 2010-01-09,66
2010-01-10 - 2010-01-16,69
2010-01-17 - 2010-01-23,68
2010-01-24 - 2010-01-30,74
2010-01-31 - 2010-02-06,73
2010-02-07 - 2010-02-13,73
2010-02-14 - 2010-02-20,70
2010-02-21 - 2010-02-27,72
2010-02-28 - 2010-03-06,71
2010-03-07 - 2010-03-13,72
2010-03-14 - 2010-03-20,69
2010-03-21 - 2010-03-27,70
2010-03-28 - 2010-04-03,67
2010-04-04 - 2010-04-10,68
2010-04-11 - 2010-04-17,73
2010-04-18 - 2010-04-24,72
2010-04-25 - 2010-05-01,71
2010-05-02 - 2010-05-08,66
2010-05-09 - 2010-05-15,68
2010-05-16 - 2010-05-22,70
2010-05-23 - 2010-05-29,69
2010-05-30 - 2010-06-05,68
2010-06-06 - 2010-06-12,69
2010-06-13 - 2010-06-19,68
2010-06-20 - 2010-06-26,66
2010-06-27 - 2010-07-03,65
2010-07-04 - 2010-07-10,64
2010-07-11 - 2010-07-17,69
2010-07-18 - 2010-07-24,66
2010-07-25 - 2010-07-31,69
2010-08-01 - 2010-08-07,67
2010-08-08 - 2010-08-14,71
2010-08-15 - 2010-08-21,73
2010-08-22 - 2010-08-28,72
2010-08-29 - 2010-09-04,73
2010-09-05 - 2010-09-11,73
2010-09-12 - 2010-09-18,76
2010-09-19 - 2010-09-25,74
2010-09-26 - 2010-10-02,76
2010-10-03 - 2010-10-09,72
2010-10-10 - 2010-10-16,71
2010-10-17 - 2010-10-23,69
2010-10-24 - 2010-10-30,69
2010-10-31 - 2010-11-06,71
2010-11-07 - 2010-11-13,69
2010-11-14 - 2010-11-20,70
2010-11-21 - 2010-11-27,61
2010-11-28 - 2010-12-04,68
2010-12-05 - 2010-12-11,66
2010-12-12 - 2010-12-18,65
2010-12-19 - 2010-12-25,56
2010-12-26 - 2011-01-01,51
2011-01-02 - 2011-01-08,61
2011-01-09 - 2011-01-15,72
2011-01-16 - 2011-01-22,70
2011-01-23 - 2011-01-29,70
2011-01-30 - 2011-02-05,72
2011-02-06 - 2011-02-12,70
2011-02-13 - 2011-02-19,74
2011-02-20 - 2011-02-26,72
2011-02-27 - 2011-03-05,72
2011-03-06 - 2011-03-12,69
2011-03-13 - 2011-03-19,65
2011-03-20 - 2011-03-26,65
2011-03-27 - 2011-04-02,69
2011-04-03 - 2011-04-09,68
2011-04-10 - 2011-04-16,69
2011-04-17 - 2011-04-23,70
2011-04-24 - 2011-04-30,67
2011-05-01 - 2011-05-07,69
2011-05-08 - 2011-05-14,70
2011-05-15 - 2011-05-21,73
2011-05-22 - 2011-05-28,65
2011-05-29 - 2011-06-04,65
2011-06-05 - 2011-06-11,68
2011-06-12 - 2011-06-18,65
2011-06-19 - 2011-06-25,66
2011-06-26 - 2011-07-02,64
2011-07-03 - 2011-07-09,63
2011-07-10 - 2011-07-16,64
2011-07-17 - 2011-07-23,63
2011-07-24 - 2011-07-30,61
2011-07-31 - 2011-08-06,61
2011-08-07 - 2011-08-13,62
2011-08-14 - 2011-08-20,64
2011-08-21 - 2011-08-27,64
2011-08-28 - 2011-09-03,63
2011-09-04 - 2011-09-10,68
2011-09-11 - 2011-09-17,70
2011-09-18 - 2011-09-24,68
2011-09-25 - 2011-10-01,67
2011-10-02 - 2011-10-08,66
2011-10-09 - 2011-10-15,65
2011-10-16 - 2011-10-22,65
2011-10-23 - 2011-10-29,64
2011-10-30 - 2011-11-05,65
2011-11-06 - 2011-11-12,63
2011-11-13 - 2011-11-19,64
2011-11-20 - 2011-11-26,61
2011-11-27 - 2011-12-03,64
2011-12-04 - 2011-12-10,64
2011-12-11 - 2011-12-17,62
2011-12-18 - 2011-12-24,53
2011-12-25 - 2011-12-31,47
2012-01-01 - 2012-01-07,58
2012-01-08 - 2012-01-14,66
2012-01-15 - 2012-01-21,69
2012-01-22 - 2012-01-28,65
2012-01-29 - 2012-02-04,66
2012-02-05 - 2012-02-11,67
2012-02-12 - 2012-02-18,68
2012-02-19 - 2012-02-25,65
2012-02-26 - 2012-03-03,65
2012-03-04 - 2012-03-10,64
2012-03-11 - 2012-03-17,64
2012-03-18 - 2012-03-24,64
2012-03-25 - 2012-03-31,63
2012-04-01 - 2012-04-07,60
2012-04-08 - 2012-04-14,62
2012-04-15 - 2012-04-21,63
2012-04-22 - 2012-04-28,63
2012-04-29 - 2012-05-05,63
2012-05-06 - 2012-05-12,63
2012-05-13 - 2012-05-19,63
2012-05-20 - 2012-05-26,61
2012-05-27 - 2012-06-02,58
2012-06-03 - 2012-06-09,65
2012-06-10 - 2012-06-16,61
2012-06-17 - 2012-06-23,59
2012-06-24 - 2012-06-30,61
2012-07-01 - 2012-07-07,57
2012-07-08 - 2012-07-14,62
2012-07-15 - 2012-07-21,61
2012-07-22 - 2012-07-28,58
2012-07-29 - 2012-08-04,59
2012-08-05 - 2012-08-11,60
2012-08-12 - 2012-08-18,59
2012-08-19 - 2012-08-25,62
2012-08-26 - 2012-09-01,65
2012-09-02 - 2012-09-08,64
2012-09-09 - 2012-09-15,68
2012-09-16 - 2012-09-22,66
2012-09-23 - 2012-09-29,64
2012-09-30 - 2012-10-06,63
2012-10-07 - 2012-10-13,61
2012-10-14 - 2012-10-20,60
2012-10-21 - 2012-10-27,60
2012-10-28 - 2012-11-03,58
2012-11-04 - 2012-11-10,61
2012-11-11 - 2012-11-17,61
2012-11-18 - 2012-11-24,58
2012-11-25 - 2012-12-01,59
2012-12-02 - 2012-12-08,60
2012-12-09 - 2012-12-15,59
2012-12-16 - 2012-12-22,54
2012-12-23 - 2012-12-29,43
2012-12-30 - 2013-01-05,48
2013-01-06 - 2013-01-12,61
2013-01-13 - 2013-01-19,62
2013-01-20 - 2013-01-26,63
2013-01-27 - 2013-02-02,63
2013-02-03 - 2013-02-09,64
2013-02-10 - 2013-02-16,63
2013-02-17 - 2013-02-23,61
2013-02-24 - 2013-03-02,62
2013-03-03 - 2013-03-09,61
2013-03-10 - 2013-03-16,61
2013-03-17 - 2013-03-23,59
2013-03-24 - 2013-03-30,58
2013-03-31 - 2013-04-06,60
2013-04-07 - 2013-04-13,59
2013-04-14 - 2013-04-20,60
2013-04-21 - 2013-04-27,59
2013-04-28 - 2013-05-04,58
2013-05-05 - 2013-05-11,58
2013-05-12 - 2013-05-18,59
2013-05-19 - 2013-05-25,56
2013-05-26 - 2013-06-01,57
2013-06-02 - 2013-06-08,58
2013-06-09 - 2013-06-15,59
2013-06-16 - 2013-06-22,58
2013-06-23 - 2013-06-29,56
2013-06-30 - 2013-07-06,55
2013-07-07 - 2013-07-13,56
2013-07-14 - 2013-07-20,55
2013-07-21 - 2013-07-27,55
2013-07-28 - 2013-08-03,55
2013-08-04 - 2013-08-10,54
2013-08-11 - 2013-08-17,55
2013-08-18 - 2013-08-24,56
2013-08-25 - 2013-08-31,59
2013-09-01 - 2013-09-07,61
2013-09-08 - 2013-09-14,62
2013-09-15 - 2013-09-21,61
2013-09-22 - 2013-09-28,60
2013-09-29 - 2013-10-05,59
2013-10-06 - 2013-10-12,59
2013-10-13 - 2013-10-19,58
2013-10-20 - 2013-10-26,61
2013-10-27 - 2013-11-02,59
2013-11-03 - 2013-11-09,61
2013-11-10 - 2013-11-16,59
2013-11-17 - 2013-11-23,61
2013-11-24 - 2013-11-30,57
2013-12-01 - 2013-12-07,61
2013-12-08 - 2013-12-14,60
2013-12-15 - 2013-12-21,56
2013-12-22 - 2013-12-28,44
2013-12-29 - 2014-01-04,49
2014-01-05 - 2014-01-11,60
2014-01-12 - 2014-01-18,62
2014-01-19 - 2014-01-25,63
2014-01-26 - 2014-02-01,61
2014-02-02 - 2014-02-08,64
2014-02-09 - 2014-02-15,60
2014-02-16 - 2014-02-22,61
2014-02-23 - 2014-03-01,60
2014-03-02 - 2014-03-08,60
2014-03-09 - 2014-03-15,62
2014-03-16 - 2014-03-22,59
2014-03-23 - 2014-03-29,60
2014-03-30 - 2014-04-05,58
2014-04-06 - 2014-04-12,59
2014-04-13 - 2014-04-19,56
2014-04-20 - 2014-04-26,55
2014-04-27 - 2014-05-03,57
2014-05-04 - 2014-05-10,62
2014-05-11 - 2014-05-17,60
2014-05-18 - 2014-05-24,59
2014-05-25 - 2014-05-31,54
2014-06-01 - 2014-06-07,56
2014-06-08 - 2014-06-14,57
2014-06-15 - 2014-06-21,54
2014-06-22 - 2014-06-28,55
2014-06-29 - 2014-07-05,53
2014-07-06 - 2014-07-12,56
2014-07-13 - 2014-07-19,56
2014-07-20 - 2014-07-26,55
2014-07-27 - 2014-08-02,55
2014-08-03 - 2014-08-09,56
2014-08-10 - 2014-08-16,55
2014-08-17 - 2014-08-23,55
2014-08-24 - 2014-08-30,58
2014-08-31 - 2014-09-06,60
2014-09-07 - 2014-09-13,61
2014-09-14 - 2014-09-20,62
2014-09-21 - 2014-09-27,58
2014-09-28 - 2014-10-04,57
2014-10-05 - 2014-10-11,58
2014-10-12 - 2014-10-18,56
2014-10-19 - 2014-10-25,55
2014-10-26 - 2014-11-01,56
2014-11-02 - 2014-11-08,57
2014-11-09 - 2014-11-15,59
2014-11-16 - 2014-11-22,60
2014-11-23 - 2014-11-29,54
2014-11-30 - 2014-12-06,58
2014-12-07 - 2014-12-13,58
2014-12-14 - 2014-12-20,54
2014-12-21 - 2014-12-27,39
2014-12-28 - 2015-01-03,45
2015-01-04 - 2015-01-10,59
2015-01-11 - 2015-01-17,60
2015-01-18 - 2015-01-24,58
2015-01-25 - 2015-01-31,62
2015-02-01 - 2015-02-07,64
2015-02-08 - 2015-02-14,61
2015-02-15 - 2015-02-21,61
2015-02-22 - 2015-02-28,62
2015-03-01 - 2015-03-07,59
2015-03-08 - 2015-03-14,59
2015-03-15 - 2015-03-21,58
2015-03-22 - 2015-03-28,57
2015-03-29 - 2015-04-04,55
2015-04-05 - 2015-04-11,56
2015-04-12 - 2015-04-18,59
2015-04-19 - 2015-04-25,59
2015-04-26 - 2015-05-02,59
2015-05-03 - 2015-05-09,58
2015-05-10 - 2015-05-16,57
2015-05-17 - 2015-05-23,56
2015-05-24 - 2015-05-30,53
2015-05-31 - 2015-06-06,53
2015-06-07 - 2015-06-13,54
2015-06-14 - 2015-06-20,53
2015-06-21 - 2015-06-27,55
2015-06-28 - 2015-07-04,52
2015-07-05 - 2015-07-11,55
2015-07-12 - 2015-07-18,52
2015-07-19 - 2015-07-25,53
2015-07-26 - 2015-08-01,53
2015-08-02 - 2015-08-08,51
2015-08-09 - 2015-08-15,53
2015-08-16 - 2015-08-22,55
2015-08-23 - 2015-08-29,56
2015-08-30 - 2015-09-05,59
2015-09-06 - 2015-09-12,56
2015-09-13 - 2015-09-19,60
2015-09-20 - 2015-09-26,57
2015-09-27 - 2015-10-03,56
2015-10-04 - 2015-10-10,57
2015-10-11 - 2015-10-17,55
2015-10-18 - 2015-10-24,55
2015-10-25 - 2015-10-31,55
2015-11-01 - 2015-11-07,56
2015-11-08 - 2015-11-14,55
2015-11-15 - 2015-11-21,55
2015-11-22 - 2015-11-28,50
2015-11-29 - 2015-12-05,55
2015-12-06 - 2015-12-12,55
2015-12-13 - 2015-12-19,55
2015-12-20 - 2015-12-26,47
2015-12-27 - 2016-01-02,42
2016-01-03 - 2016-01-09,55
2016-01-10 - 2016-01-16,56
2016-01-17 - 2016-01-23,59
2016-01-24 - 2016-01-30,59
2016-01-31 - 2016-02-06,59
2016-02-07 - 2016-02-13,57
2016-02-14 - 2016-02-20,44


Top regions for asc
Region,asc
Senegal,100
Azerbaijan,89
Puerto Rico,54
Slovakia,24
Netherlands,21
Germany,20
Singapore,18
Australia,17
India,16
United States,15
Austria,15
France,14
Romania,13
Hong Kong,13
China,12
Switzerland,12
Czech Republic,11
Poland,11
United Kingdom,11
Portugal,10
Philippines,10
Indonesia,10
Greece,10
Croatia,10
Serbia,10
Italy,10
Canada,9
Slovenia,9
Belgium,9
Spain,9
Malaysia,9
Hungary,9
New Zealand,9
Taiwan,8
South Korea,8
Lithuania,8
Japan,8
Brazil,8
Vietnam,7
Mexico,6
Bulgaria,6
Turkey,6
South Africa,6
Ireland,6
Norway,6
Pakistan,6
United Arab Emirates,6
Colombia,6
Denmark,5
Finland,5
Peru,5
Ecuador,5
Chile,5
Ukraine,5
Thailand,5
Sweden,5
Egypt,5
Russia,5
Israel,5
Morocco,4
Argentina,4
Saudi Arabia,3
Iran,3
Venezuela,3


Top cities for asc
City,asc
Amiens (France),100
Baku (Azerbaijan),89
Amsterdam (Netherlands),23
Washington (United States),19
Barcelona (Spain),18
Frankfurt (Germany),17
Bangalore (India),17
New York (United States),17
Singapore (Singapore),17
Munich (Germany),16
Los Angeles (United States),16
Chicago (United States),16
Houston (United States),16
San Francisco (United States),15
Vienna (Austria),15



Top searches for asc
order asc,100
order by asc,80
order by,75
asc desc,75
desc,75
asc sql,75
asc bmw,70
asc download,65
fasb,55
fasb asc,55
asc code,55
asc timetables,55
asc ii,55
asc 2,50
asc file,50
asc us,45
asc pro,40
asc service,40
mysql asc,40
asc mortgage,40
tabela asc,40
asc table,30
asc göttingen,30
asc group,30
asc 740,25
asc dortmund,25
asc 6,25
asc 116,20
asc timetable,20
asc office,20
asc 820,20
asc computer,20
asc conference,20
asc horarios,20
asc international,20
codigo asc,20
asc football,20
asc parts,20
asc foot,20
asc 码,20
asc inc,15
asc 09,15
mysql order by,15
asc warranty,15
pao asc,15
asc amiens,15
asc jogja,10
asc soccer,10
asc komputer,10
asc 13,10



Rising searches for asc
asc 740,Breakout
asc dortmund,Breakout
asc mortgage,Breakout
asc pro,Breakout
asc us,Breakout
fasb,Breakout
fasb asc,Breakout
asc bmw,+120%
asc timetables,+90%
asc 2,+60%



